"id","code","account_type","name","reconcile","name@es"
"py_acc_11010101","1.1.01.01.01","asset_current","Recaudaciones a Depositar","False","Recaudaciones a Depositar"
"py_acc_11011230","1.1.01.12.30","asset_current","Cheques de Terceros","False","Cheques de Terceros"
"py_acc_11011240","1.1.01.12.40","asset_current","Cheques de Terceros Rechazados","False","Cheques de Terceros Rechazados"
"py_acc_11020101","1.1.02.01.01","asset_receivable","Créditos por ventas","True","Créditos por ventas"
"py_acc_11020102","1.1.02.01.02","asset_receivable","Créditos por ventas (Pos)","True","Créditos por ventas (Pos)"
"py_acc_11020104","1.1.02.01.04","asset_current","Clientes Varios Gs.","False","Clientes Varios Gs."
"py_acc_11020105","1.1.02.01.05","asset_current","Intereses Comerciales a Cobrar","False","Intereses Comerciales a Cobrar"
"py_acc_11020106","1.1.02.01.06","asset_current","Cuentas a Cobrar","False","Cuentas a Cobrar"
"py_acc_11020300","1.1.02.03.00","asset_current","Préstamo a Cobrar BASILEA S.A.","False","Préstamo a Cobrar BASILEA S.A."
"py_acc_11020301","1.1.02.03.01","asset_current","Préstamos Otorgados","False","Préstamos Otorgados"
"py_acc_11020304","1.1.02.03.04","asset_current","Préstamos al Personal","False","Préstamos al Personal"
"py_acc_11020401","1.1.02.04.01","asset_current","Anticipo Impuesto a la Renta","False","Anticipo Impuesto a la Renta"
"py_acc_11020404","1.1.02.04.04","asset_current","IVA Crédito 10 %","False","IVA Crédito 10 %"
"py_acc_11020405","1.1.02.04.05","asset_current","Retención IVA","False","Retención IVA"
"py_acc_11020406","1.1.02.04.06","asset_current","IVA Saldo Tecnico","False","IVA Saldo Tecnico"
"py_acc_11020501","1.1.02.05.01","asset_current","Anticipo a Proveedores M.L.","False","Anticipo a Proveedores M.L."
"py_acc_11020519","1.1.02.05.19","asset_current","Anticipo a rendir Jorge Barreto","False","Anticipo a rendir Jorge Barreto"
"py_acc_11030101","1.1.03.01.01","asset_current","Inmueble Ypacarai","False","Inmueble Ypacarai"
"py_acc_11030102","1.1.03.01.02","asset_current","Inmueble J.A Saldivar","False","Inmueble J.A Saldivar"
"py_acc_11030105","1.1.03.01.05","asset_current","Inmueble Capiata","False","Inmueble Capiata"
"py_acc_11030110","1.1.03.01.10","asset_current","Inmueble La Juanita Limpio","False","Inmueble La Juanita Limpio"
"py_acc_11030111","1.1.03.01.11","asset_current","Inmueble Pdte. Franco","False","Inmueble Pdte. Franco"
"py_acc_11030116","1.1.03.01.16","asset_current","Inmueble Capiatá - Altos de Thompson","False","Inmueble Capiatá - Altos de Thompson"
"py_acc_11030124","1.1.03.01.24","asset_current","Inmueble Capiata Zona Alamo","False","Inmueble Capiata Zona Alamo"
"py_acc_11030127","1.1.03.01.27","asset_current","Inmueble Aregua Caacupemi","False","Inmueble Aregua Caacupemi"
"py_acc_11030129","1.1.03.01.29","asset_current","Inmueble Lotes Villeta","False","Inmueble Lotes Villeta"
"py_acc_11030201","1.1.03.02.01","asset_current","Obras en curso- Viviendas","False","Obras en curso- Viviendas"
"py_acc_11030203","1.1.03.02.03","asset_current","Proyecto Barrio Cerrado Limpio","False","Proyecto Barrio Cerrado Limpio"
"py_acc_11030304","1.1.03.03.04","asset_current","Inmueble Luque Marambure","False","Inmueble Luque Marambure"
"py_acc_11030305","1.1.03.03.05","asset_current","(-) Inm. Marambure regularizadora - Grupo Ita SA","False","(-) Inm. Marambure regularizadora - Grupo Ita SA"
"py_acc_12010101","1.2.01.01.01","asset_fixed","a.1) Muebles y Útiles","False","a.1) Muebles y Útiles"
"py_acc_12010102","1.2.01.01.02","asset_fixed","a.2) Útiles y Enseres","False","a.2) Útiles y Enseres"
"py_acc_12010103","1.2.01.01.03","asset_fixed","(-) Depreciación acumulada Muebles y utiles","False","(-) Depreciación acumulada Muebles y utiles"
"py_acc_12010202","1.2.01.02.02","asset_fixed","b.2) Herramientas y Equipos","False","b.2) Herramientas y Equipos"
"py_acc_12010203","1.2.01.02.03","asset_fixed","b.3) Equipos de Informática","False","b.3) Equipos de Informática"
"py_acc_12010204","1.2.01.02.04","asset_fixed","(-) Depreciación acumulada Maquinarias y equipos","False","(-) Depreciación acumulada Maquinarias y equipos"
"py_acc_12010702","1.2.01.07.02","asset_fixed","g.2) Mejoras en Prop. Ajena","False","g.2) Mejoras en Prop. Ajena"
"py_acc_12010704","1.2.01.07.04","asset_fixed","(-) Depreciación acumulada Mejoras en prop. Ajena","False","(-) Depreciación acumulada Mejoras en prop. Ajena"
"py_acc_12010802","1.2.01.08.02","asset_fixed","Instalaciones de seguridad","False","Instalaciones de seguridad"
"py_acc_12010805","1.2.01.08.05","asset_fixed","(-) Depreciación acumulada Instalaciones","False","(-) Depreciación acumulada Instalaciones"
"py_acc_12020101","1.2.02.01.01","asset_fixed","Gastos de Constitución y Organización","","Gastos de Constitución y Organización"
"py_acc_12020102","1.2.02.01.02","asset_fixed","Gastos de Proyectos de Inversión","","Gastos de Proyectos de Inversión"
"py_acc_12020104","1.2.02.01.04","asset_fixed","Licencias y Software","","Licencias y Software"
"py_acc_12020108","1.2.02.01.08","asset_fixed","(-) Amortización acumulada Licencias y Software","","(-) Amortización acumulada Licencias y Software"
"py_acc_12020204","1.2.02.02.04","asset_fixed","Intereses pagados","","Intereses pagados"
"py_acc_21010101","2.1.01.01.01","liability_payable","Proveedores","True","Proveedores"
"py_acc_21010105","2.1.01.01.05","liability_current","Proveedores Varios","False","Proveedores Varios"
"py_acc_21010110","2.1.01.01.10","liability_current","Cheques diferidos a pagar","False","Cheques diferidos a pagar"
"py_acc_21010120","2.1.01.01.20","liability_payable","Proveedores Varios USD","True","Proveedores Varios USD"
"py_acc_21010304","2.1.01.03.04","liability_current","Empire Group S.A.","False","Empire Group S.A."
"py_acc_21010306","2.1.01.03.06","liability_current","Guillermo Sanchez y Marcos Sanchez - Zona Alamo","False","Guillermo Sanchez y Marcos Sanchez - Zona Alamo"
