"id","code_prefix_start","code_prefix_end","name","name@es"
"py_accgrp_1","1","","ACTIVO","ACTIVO"
"py_accgrp_11","1.1","","ACTIVO CORRIENTE","ACTIVO CORRIENTE"
"py_accgrp_1101","1.1.01","","DISPONIBILIDADES","DISPONIBILIDADES"
"py_accgrp_110101","1.1.01.01","","RECAUDACIONES A DEPOSITAR","RECAUDACIONES A DEPOSITAR"
"py_accgrp_110104","1.1.01.04","","CAJA","CAJA"
"py_accgrp_110112","1.1.01.12","","BANCOS","BANCOS"
"py_accgrp_1102","1.1.02","","CREDITOS","CREDITOS"
"py_accgrp_110201","1.1.02.01","","CUENTAS A COBRAR","CUENTAS A COBRAR"
"py_accgrp_110203","1.1.02.03","","OTROS CREDITOS","OTROS CREDITOS"
"py_accgrp_110204","1.1.02.04","","Créditos por Impuestos Corrientes","Créditos por Impuestos Corrientes"
"py_accgrp_110205","1.1.02.05","","Anticipos a Proveedores Locales","Anticipos a Proveedores Locales"
"py_accgrp_1103","1.1.03","","BIENES DE CAMBIO","BIENES DE CAMBIO"
"py_accgrp_110301","1.1.03.01","","INVENTARIOS INMUEBLES","INVENTARIOS INMUEBLES"
"py_accgrp_110302","1.1.03.02","","OBRAS EN CURSO","OBRAS EN CURSO"
"py_accgrp_110303","1.1.03.03","","INVENTARIO INMUEBLE CON TERCEROS","INVENTARIO INMUEBLE CON TERCEROS"
"py_accgrp_110305","1.1.03.05","","OTRAS INVERSIONES","OTRAS INVERSIONES"
"py_accgrp_1122","1.1.22","","OTROS ACTIVOS","OTROS ACTIVOS"
"py_accgrp_112201","1.1.22.01","","OTROS ACTIVOS","OTROS ACTIVOS"
"py_accgrp_12","1.2","","ACTIVO NO CORRIENTE","ACTIVO NO CORRIENTE"
"py_accgrp_1200","1.2.00","","INVERSIONES A LARGO PLAZO","INVERSIONES A LARGO PLAZO"
"py_accgrp_1201","1.2.01","","BIENES DE USO","BIENES DE USO"
"py_accgrp_120101","1.2.01.01","","MUEBLES Y UTILES","MUEBLES Y UTILES"
"py_accgrp_120102","1.2.01.02","","MAQUINARIAS, HERRAMIENTAS Y EQUIPOS","MAQUINARIAS, HERRAMIENTAS Y EQUIPOS"
"py_accgrp_120103","1.2.01.03","","TRANSPORTE TERRESTRE","TRANSPORTE TERRESTRE"
"py_accgrp_120104","1.2.01.04","","TRANSPORTE AEREO","TRANSPORTE AEREO"
"py_accgrp_120105","1.2.01.05","","TRANSPORTE MARITIMO Y FLUVIAL","TRANSPORTE MARITIMO Y FLUVIAL"
"py_accgrp_120106","1.2.01.06","","TRANSPORTE FERROVIARIO","TRANSPORTE FERROVIARIO"
"py_accgrp_120107","1.2.01.07","","INMUEBLES","INMUEBLES"
"py_accgrp_120108","1.2.01.08","","INSTALACIONES","INSTALACIONES"
"py_accgrp_1202","1.2.02","","CARGOS DIFERIDOS","CARGOS DIFERIDOS"
"py_accgrp_120201","1.2.02.01","","GASTOS DIFERIDOS","GASTOS DIFERIDOS"
"py_accgrp_120202","1.2.02.02","","OTROS DIFERIDOS","OTROS DIFERIDOS"
"py_accgrp_2","2","","PASIVO","PASIVO"
"py_accgrp_21","2.1","","PASIVO CORRIENTE","PASIVO CORRIENTE"
"py_accgrp_2101","2.1.01","","DEUDAS","DEUDAS"
"py_accgrp_210101","2.1.01.01","","DEUDAS COMERCIALES","DEUDAS COMERCIALES"
"py_accgrp_210103","2.1.01.03","","INVERSIONES DE TERCEROS","INVERSIONES DE TERCEROS"
"py_accgrp_210104","2.1.01.04","","DEUDAS FINANCIERAS","DEUDAS FINANCIERAS"
"py_accgrp_210105","2.1.01.05","","DEUDAS FISCALES Y SOCIALES","DEUDAS FISCALES Y SOCIALES"
"py_accgrp_210106","2.1.01.06","","OTRAS DEUDAS","OTRAS DEUDAS"
"py_accgrp_210107","2.1.01.07","","PRESTAMOS DIRECTORES","PRESTAMOS DIRECTORES"
"py_accgrp_210108","2.1.01.08","","INGRESOS DIFERIDOS","INGRESOS DIFERIDOS"
"py_accgrp_210109","2.1.01.09","","ANTICIPOS A PAGAR","ANTICIPOS A PAGAR"
"py_accgrp_210110","2.1.01.10","","PROVISIONES","PROVISIONES"
"py_accgrp_22","2.2","","PASIVOS NO CORRIENTE","PASIVOS NO CORRIENTE"
"py_accgrp_2201","2.2.01","","PROVISIONES","PROVISIONES"
"py_accgrp_220101","2.2.01.01","","PROVISION Y PREVISION","PROVISION Y PREVISION"
"py_accgrp_2202","2.2.02","","UTILIDADES DIFERIDAS","UTILIDADES DIFERIDAS"
"py_accgrp_220201","2.2.02.01","","UTILIDADES DIFERIDAS S/ VENTAS","UTILIDADES DIFERIDAS S/ VENTAS"
"py_accgrp_3","3","","PATRIMONIO NETO","PATRIMONIO NETO"
"py_accgrp_31","3.1","","CAPITAL RESERVAS Y RESULTADOS","CAPITAL RESERVAS Y RESULTADOS"
"py_accgrp_3101","3.1.01","","CAPITAL RESERVAS Y RESULTADOS","CAPITAL RESERVAS Y RESULTADOS"
"py_accgrp_310101","3.1.01.01","","CAPITAL SOCIAL","CAPITAL SOCIAL"
"py_accgrp_310102","3.1.01.02","","RESERVAS","RESERVAS"
"py_accgrp_310103","3.1.01.03","","RESULTADOS","RESULTADOS"
"py_accgrp_4","4","","INGRESOS","INGRESOS"
